Year,Month,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2,LibIsland
2013,1,23719.3548387097,663.161290322581,296.967741935484,292.225806451613,27,1838.70967741935,2454.90322580645,26837.4193548387,269.903225806452,2654.51612903226,1649.03225806452,15.5806451612903,4588.83870967742,1208.67741935484,1249.61290322581,0,-40.9032258064516,4474.03225806452,2366.67741935484,19920,22289.4516129032,0.17,18.4193548387097,25101.7096774194,12.6774193548387,65.0038709677419,1
2013,2,15878.5714285714,99.9285714285714,222.642857142857,204.75,23.7142857142857,2230.35714285714,2681.46428571429,18659.9642857143,194.142857142857,1743.32142857143,2605.14285714286,20.6071428571429,4563.10714285714,872.607142857143,204.642857142857,0,667.964285714286,3149.85714285714,833.964285714286,12641.6785714286,13428.8214285714,0.238214285714286,28.5357142857143,16429.6071428571,18.7142857142857,70.3421428571429,1
2013,3,13435.4838709677,404.516129032258,301.903225806452,140.451612903226,75.3548387096774,1509.67741935484,2027.38709677419,15867.3870967742,219.387096774194,2590.8064516129,2463.38709677419,10.7741935483871,5284.35483870968,1274.25806451613,317.967741935484,0,956.225806451613,2893.8064516129,-984.709677419355,10678.4838709677,9626.90322580645,0.320322580645161,39.8709677419355,14357.7096774194,33.3870967741936,75.3274193548387,1
2013,4,12397.6666666667,418.3,312.533333333333,173.966666666667,123.266666666667,2162,2771.76666666667,15587.7333333333,25.3666666666667,1373.53333333333,455.433333333333,38.9666666666667,1893.33333333333,1837.43333333333,1008.63333333333,0,828.733333333333,2627.46666666667,2967.2,9956.4,12865.7,0.121333333333333,19.9,13839.7,9.16666666666667,74.721,1
2013,5,11377.7419354839,560.258064516129,101.161290322581,168.322580645161,167.935483870968,2318.48387096774,2755.90322580645,14693.9032258065,220.612903225806,899.870967741935,1039.1935483871,101.935483870968,2261.67741935484,2364.35483870968,0,0,2364.35483870968,2879.51612903226,1836.64516129032,8396.51612903226,10067.8709677419,0.125806451612903,31.5483870967742,12692.8709677419,20.6129032258065,76.2716129032258,1
2013,6,13203.3333333333,653.666666666667,36.2666666666667,39.0666666666667,197.6,737.4,1010.33333333333,14867.3333333333,345.8,2047.83333333333,783.033333333333,110.366666666667,3286.93333333333,3678.26666666667,0,0,3678.26666666667,5294.1,626.6,7532.86666666667,7902.03333333333,0.176666666666667,46.3333333333333,14129.9333333333,43.4333333333333,78.2223333333333,1
2013,7,17487.0967741935,684.290322580645,13.3548387096774,40.1612903225806,199.064516129032,576.032258064516,828.612903225806,19000,329.903225806452,5172.83870967742,3664.41935483871,102.741935483871,9270,4286.41935483871,0,0,4286.41935483871,7654.61290322581,-3573,9316.64516129032,5443.54838709677,0.461935483870968,71.3870967741936,18423.9677419355,70.4838709677419,81.4567741935484,1
2013,8,17606.4516129032,501.516129032258,5.96774193548387,36.3870967741936,175.032258064516,525.258064516129,742.645161290323,18850.6129032258,307.354838709677,5821.38709677419,3810.83870967742,104.838709677419,10044.3870967742,3722.45161290323,0,0,3722.45161290323,7709.03225806452,-4012.25806451613,9356.58064516129,5083.67741935484,0.506129032258065,72.9032258064516,18325.3548387097,72.258064516129,83.7103225806452,1
2013,9,13480,317.466666666667,8.86666666666667,38.8,121.366666666667,849.066666666667,1018.1,14815.5666666667,251.166666666667,3378.16666666667,3296.8,93.9333333333333,7019.9,2585.9,382,0,2203.9,6326.66666666667,-1107.83333333333,6853.73333333333,5591.76666666667,0.446333333333333,61.9333333333333,13966.5,59.3666666666667,83.734,1
2013,10,7974.83870967742,165.451612903226,15.3548387096774,171.612903225806,48.8709677419355,1439.38709677419,1675.22580645161,9815.51612903226,158.354838709677,1170.67741935484,2277.41935483871,96.4838709677419,3702.87096774194,1839.03225806452,0,0,1839.03225806452,3356.29032258065,133.161290322581,4269.1935483871,4273.51612903226,0.349354838709677,56.6129032258064,8376.12903225806,48.4193548387097,85.93,1
